1~Alwyn the Druid~0~0~Friendly~0~200~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5~0~1~0~0~0~~0
71973~z11 Pirate 1~8~25~Hostile~72~665~5 - 11~715~144~2802~612~0.3~0,123~0,144;1,144;2,144;3,144;4,144;5,130;7,Immune~1~1~0~0~1520~0,306;1,306;2,306;3,306;4,306;5,306~0
71974~z11 Pirate 1~8~25~Hostile~73~674~5 - 11~725~146~2803~657~0.3~0,125~0,146;1,146;2,146;3,146;4,146;5,131;7,Immune~1~1~0~0~1540~0,310;1,310;2,310;3,310;4,310;5,310~0
71975~z11 Pirate 1~8~25~Hostile~74~682~5 - 11~735~148~2804~666~0.3~0,127~0,148;1,148;2,148;3,148;4,148;5,133;7,Immune~1~1~0~0~1560~0,314;1,314;2,314;3,314;4,314;5,314~0
71976~Darksea Pirate~8~25~Hostile~75~690~5 - 11~745~150~2805~675~0.3~0,129~0,150;1,150;2,150;3,150;4,150;5,135;7,Immune~1~1~0~0~1580~0,319;1,319;2,319;3,319;4,319;5,319~0
71977~Darksea Pirate~8~25~Hostile~76~699~5 - 12~755~152~2806~684~0.3~0,130~0,152;1,152;2,152;3,152;4,152;5,137;7,Immune~1~1~0~0~1600~0,323;1,323;2,323;3,323;4,323;5,323~0
71978~Darksea Pirate~8~25~Hostile~77~707~5 - 12~765~154~2807~693~0.3~0,131~0,154;1,154;2,154;3,154;4,154;5,139;7,Immune~1~1~0~0~1620~0,327;1,327;2,327;3,327;4,327;5,327~0
71979~Darksea Pirate~8~25~Hostile~78~716~5 - 12~775~156~2808~741~0.3~0,133~0,156;1,156;2,156;3,156;4,156;5,140;7,Immune~1~1~0~0~1640~0,331;1,331;2,331;3,331;4,331;5,331~0
71980~Darksea Pirate~8~25~Hostile~79~725~5 - 12~785~158~2809~751~0.3~0,135~0,158;1,158;2,158;3,158;4,158;5,142;7,Immune~1~1~0~0~1660~0,336;1,336;2,336;3,336;4,336;5,336~0
71981~z11 Pirate 1~8~25~Hostile~80~733~5 - 12~795~160~2810~760~0.3~0,146~0,160;1,160;2,160;3,160;4,160;5,144;7,Immune~1~1~0~0~1680~0,340;1,340;2,340;3,340;4,340;5,340~0
71982~z11 Pirate 1~8~25~Hostile~81~741~5 - 12~805~162~2811~770~0.3~0,148~0,162;1,162;2,162;3,162;4,162;5,146;7,Immune~1~1~0~0~1700~0,344;1,344;2,344;3,344;4,344;5,344~0
71983~z11 Pirate 1~8~25~Hostile~82~749~5 - 12~815~164~2812~779~0.3~0,149~0,164;1,164;2,164;3,164;4,164;5,148;7,Immune~1~1~0~0~1720~0,348;1,348;2,348;3,348;4,348;5,348~0
71984~z11 Pirate 1~8~25~Hostile~83~758~5 - 12~825~166~2813~830~0.3~0,151~0,166;1,166;2,166;3,166;4,166;5,149;7,Immune~1~1~0~0~1740~0,353;1,353;2,353;3,353;4,353;5,353~0
71985~z11 Pirate 1~8~25~Hostile~84~766~5 - 13~835~168~2814~840~0.3~0,153~0,168;1,168;2,168;3,168;4,168;5,151;7,Immune~1~1~0~0~1760~0,357;1,357;2,357;3,357;4,357;5,357~0
71986~Darksea Pirate~8~25~Hostile~85~775~5 - 13~845~170~2815~850~0.3~0,155~0,170;1,170;2,170;3,170;4,170;5,153;7,Immune~1~1~0~0~1780~0,361;1,361;2,361;3,361;4,361;5,361~0
71987~Darksea Pirate~8~25~Hostile~86~784~5 - 13~855~172~2816~860~0.3~0,157~0,172;1,172;2,172;3,172;4,172;5,155;7,Immune~1~1~0~0~1800~0,365;1,365;2,365;3,365;4,365;5,365~0
71988~Darksea Pirate~8~25~Hostile~87~791~5 - 13~865~174~2817~870~0.3~0,158~0,174;1,174;2,174;3,174;4,174;5,157;7,Immune~1~1~0~0~1820~0,370;1,370;2,370;3,370;4,370;5,370~0
71989~Darksea Pirate~8~25~Hostile~88~800~6 - 13~875~176~2818~924~0.3~0,160~0,176;1,176;2,176;3,176;4,176;5,158;7,Immune~1~1~0~0~1840~0,374;1,374;2,374;3,374;4,374;5,374~0
71990~Darksea Pirate~8~25~Hostile~89~808~6 - 13~885~178~2819~935~0.3~0,162~0,178;1,178;2,178;3,178;4,178;5,160;7,Immune~1~1~0~0~1860~0,378;1,378;2,378;3,378;4,378;5,378~0
71991~z11 Pirate 2~8~25~Hostile~70~1158~9 - 20~695~140~2800~893~0.3~0,155~0,140;1,140;2,140;3,147;4,147;5,132;7,Immune~2~1~0~0~1973~0,315;1,315;2,315;3,315;4,315;5,315~0
71992~z11 Pirate 2~8~25~Hostile~71~1173~9 - 20~705~142~2801~906~0.3~0,157~0,142;1,142;2,142;3,149;4,149;5,134;7,Immune~2~1~0~0~2000~0,319;1,319;2,319;3,319;4,319;5,319~0
71993~z11 Pirate 2~8~25~Hostile~72~1188~9 - 20~715~144~2802~918~0.3~0,159~0,144;1,144;2,144;3,151;4,151;5,136;7,Immune~2~1~0~0~2027~0,324;1,324;2,324;3,324;4,324;5,324~0
71994~z11 Pirate 2~8~25~Hostile~73~1203~9 - 20~725~146~2803~986~0.3~0,162~0,146;1,146;2,146;3,153;4,153;5,138;7,Immune~2~1~0~0~2053~0,328;1,328;2,328;3,328;4,328;5,328~0
71995~z11 Pirate 2~8~25~Hostile~74~1218~9 - 21~735~148~2804~999~0.3~0,164~0,148;1,148;2,148;3,155;4,155;5,140;7,Immune~2~1~0~0~2080~0,333;1,333;2,333;3,333;4,333;5,333~0
71996~Darksea Ruffian~8~25~Hostile~75~1233~9 - 21~745~150~2805~1013~0.3~0,167~0,150;1,150;2,150;3,158;4,158;5,142;7,Immune~2~1~0~0~2107~0,337;1,337;2,337;3,337;4,337;5,337~0
71997~Darksea Ruffian~8~25~Hostile~76~1248~10 - 21~755~152~2806~1026~0.3~0,168~0,152;1,152;2,152;3,160;4,160;5,144;7,Immune~2~1~0~0~2133~0,342;1,342;2,342;3,342;4,342;5,342~0
71998~Darksea Ruffian~8~25~Hostile~77~1263~10 - 21~765~154~2807~1040~0.3~0,170~0,154;1,154;2,154;3,162;4,162;5,146;7,Immune~2~1~0~0~2160~0,346;1,346;2,346;3,346;4,346;5,346~0
71999~Darksea Ruffian~8~25~Hostile~78~1278~10 - 22~775~156~2808~1112~0.3~0,172~0,156;1,156;2,156;3,164;4,164;5,148;7,Immune~2~1~0~0~2187~0,351;1,351;2,351;3,351;4,351;5,351~0
72000~Darksea Ruffian~8~25~Hostile~79~1293~10 - 22~785~158~2809~1126~0.3~0,175~0,158;1,158;2,158;3,166;4,166;5,149;7,Immune~2~1~0~0~2213~0,355;1,355;2,355;3,355;4,355;5,355~0
72001~z11 Pirate 2~8~25~Hostile~80~1308~10 - 22~795~160~2810~1140~0.3~0,186~0,160;1,160;2,160;3,168;4,168;5,151;7,Immune~2~1~0~0~2240~0,360;1,360;2,360;3,360;4,360;5,360~0
72002~z11 Pirate 2~8~25~Hostile~81~1323~10 - 22~805~162~2811~1155~0.3~0,189~0,162;1,162;2,162;3,170;4,170;5,153;7,Immune~2~1~0~0~2267~0,364;1,364;2,364;3,364;4,364;5,364~0
72003~z11 Pirate 2~8~25~Hostile~82~1338~10 - 23~815~164~2812~1169~0.3~0,190~0,164;1,164;2,164;3,172;4,172;5,155;7,Immune~2~1~0~0~2293~0,369;1,369;2,369;3,369;4,369;5,369~0
72004~z11 Pirate 2~8~25~Hostile~83~1353~10 - 23~825~166~2813~1245~0.3~0,193~0,166;1,166;2,166;3,174;4,174;5,157;7,Immune~2~1~0~0~2320~0,373;1,373;2,373;3,373;4,373;5,373~0
72005~z11 Pirate 2~8~25~Hostile~84~1368~11 - 23~835~168~2814~1260~0.3~0,195~0,168;1,168;2,168;3,176;4,176;5,158;7,Immune~2~1~0~0~2347~0,378;1,378;2,378;3,378;4,378;5,378~0
72006~Darksea Ruffian~8~25~Hostile~85~1384~11 - 23~845~170~2815~1275~0.3~0,198~0,170;1,170;2,170;3,179;4,179;5,161;7,Immune~2~1~0~0~2373~0,382;1,382;2,382;3,382;4,382;5,382~0
72007~Darksea Ruffian~8~25~Hostile~86~1399~11 - 24~855~172~2816~1290~0.3~0,200~0,172;1,172;2,172;3,181;4,181;5,163;7,Immune~2~1~0~0~2400~0,387;1,387;2,387;3,387;4,387;5,387~0
72008~Darksea Ruffian~8~25~Hostile~87~1414~11 - 24~865~174~2817~1305~0.3~0,202~0,174;1,174;2,174;3,183;4,183;5,165;7,Immune~2~1~0~0~2427~0,391;1,391;2,391;3,391;4,391;5,391~0
72009~Darksea Ruffian~8~25~Hostile~88~1429~11 - 24~875~176~2818~1386~0.3~0,204~0,176;1,176;2,176;3,185;4,185;5,167;7,Immune~2~1~0~0~2453~0,396;1,396;2,396;3,396;4,396;5,396~0
72010~Darksea Ruffian~8~25~Hostile~89~1444~11 - 24~885~178~2819~1402~0.3~0,207~0,178;1,178;2,178;3,187;4,187;5,168;7,Immune~2~1~0~0~2480~0,400;1,400;2,400;3,400;4,400;5,400~0
72011~z11 Pirate 3~8~25~Hostile~70~1737~12 - 25~695~140~2800~1190~0.3~0,193~0,140;1,140;2,140;3,154;4,154;5,139;7,Immune~3~1~0~0~2960~0,350;1,350;2,350;3,350;4,350;5,350~0
72012~z11 Pirate 3~8~25~Hostile~71~1760~12 - 26~705~142~2801~1207~0.3~0,196~0,142;1,142;2,142;3,156;4,156;5,140;7,Immune~3~1~0~0~3000~0,355;1,355;2,355;3,355;4,355;5,355~0
72013~z11 Pirate 3~8~25~Hostile~72~1782~12 - 26~715~144~2802~1224~0.3~0,199~0,144;1,144;2,144;3,158;4,158;5,142;7,Immune~3~1~0~0~3040~0,360;1,360;2,360;3,360;4,360;5,360~0
72014~z11 Pirate 3~8~25~Hostile~73~1805~12 - 26~725~146~2803~1314~0.3~0,201~0,146;1,146;2,146;3,161;4,161;5,145;7,Immune~3~1~0~0~3080~0,365;1,365;2,365;3,365;4,365;5,365~0
72015~z11 Pirate 3~8~25~Hostile~74~1828~12 - 27~735~148~2804~1332~0.3~0,204~0,148;1,148;2,148;3,163;4,163;5,147;7,Immune~3~1~0~0~3120~0,370;1,370;2,370;3,370;4,370;5,370~0
72016~z11 Pirate 3~8~25~Hostile~75~1850~13 - 27~745~150~2805~1350~0.3~0,207~0,150;1,150;2,150;3,165;4,165;5,149;7,Immune~3~1~0~0~3160~0,375;1,375;2,375;3,375;4,375;5,375~0
72017~z11 Pirate 3~8~25~Hostile~76~1873~13 - 27~755~152~2806~1368~0.3~0,210~0,152;1,152;2,152;3,167;4,167;5,150;7,Immune~3~1~0~0~3200~0,380;1,380;2,380;3,380;4,380;5,380~0
72018~z11 Pirate 3~8~25~Hostile~77~1895~13 - 28~765~154~2807~1386~0.3~0,212~0,154;1,154;2,154;3,169;4,169;5,152;7,Immune~3~1~0~0~3240~0,385;1,385;2,385;3,385;4,385;5,385~0
72019~z11 Pirate 3~8~25~Hostile~78~1918~13 - 28~775~156~2808~1482~0.3~0,215~0,156;1,156;2,156;3,172;4,172;5,155;7,Immune~3~1~0~0~3280~0,390;1,390;2,390;3,390;4,390;5,390~0
72020~z11 Pirate 3~8~25~Hostile~79~1940~13 - 28~785~158~2809~1501~0.3~0,218~0,158;1,158;2,158;3,174;4,174;5,157;7,Immune~3~1~0~0~3320~0,395;1,395;2,395;3,395;4,395;5,395~0
72021~z11 Pirate 3~8~25~Hostile~80~1963~15 - 33~795~160~2810~1520~0.3~0,230~0,160;1,160;2,160;3,176;4,176;5,158;7,Immune~3~1~0~0~3360~0,400;1,400;2,400;3,400;4,400;5,400~0
72022~z11 Pirate 3~8~25~Hostile~81~1986~16 - 33~805~162~2811~1539~0.3~0,233~0,162;1,162;2,162;3,178;4,178;5,160;7,Immune~3~1~0~0~3400~0,405;1,405;2,405;3,405;4,405;5,405~0
72023~z11 Pirate 3~8~25~Hostile~82~2008~16 - 33~815~164~2812~1558~0.3~0,236~0,164;1,164;2,164;3,180;4,180;5,162;7,Immune~3~1~0~0~3440~0,410;1,410;2,410;3,410;4,410;5,410~0
72024~z11 Pirate 3~8~25~Hostile~83~2031~16 - 35~825~166~2813~1660~0.3~0,238~0,166;1,166;2,166;3,183;4,183;5,165;7,Immune~3~1~0~0~3480~0,415;1,415;2,415;3,415;4,415;5,415~0
72025~z11 Pirate 3~8~25~Hostile~84~2053~16 - 35~835~168~2814~1680~0.3~0,241~0,168;1,168;2,168;3,185;4,185;5,167;7,Immune~3~1~0~0~3520~0,420;1,420;2,420;3,420;4,420;5,420~0
72026~Darksea Corsair~8~25~Hostile~85~2076~16 - 35~845~170~2815~1700~0.3~0,244~0,170;1,170;2,170;3,187;4,187;5,168;7,Immune~3~1~0~0~3560~0,425;1,425;2,425;3,425;4,425;5,425~0
72027~Darksea Corsair~8~25~Hostile~86~2098~16 - 36~855~172~2816~1720~0.3~0,247~0,172;1,172;2,172;3,189;4,189;5,170;7,Immune~3~1~0~0~3600~0,430;1,430;2,430;3,430;4,430;5,430~0
72028~Darksea Corsair~8~25~Hostile~87~2121~17 - 36~865~174~2817~1740~0.3~0,250~0,174;1,174;2,174;3,191;4,191;5,172;7,Immune~3~1~0~0~3640~0,435;1,435;2,435;3,435;4,435;5,435~0
72029~Darksea Corsair~8~25~Hostile~88~2144~17 - 36~875~176~2818~1848~0.3~0,253~0,176;1,176;2,176;3,194;4,194;5,175;7,Immune~3~1~0~0~3680~0,440;1,440;2,440;3,440;4,440;5,440~0
72030~Darksea Corsair~8~25~Hostile~89~2166~17 - 37~885~178~2819~1869~0.3~0,256~0,178;1,178;2,178;3,196;4,196;5,176;7,Immune~3~1~0~0~3720~0,445;1,445;2,445;3,445;4,445;5,445~0
72031~z11 Pirate 4~8~25~Hostile~70~2316~18 - 37~695~140~2800~1785~0.3~0,238~0,140;1,140;2,140;3,161;4,161;5,161;7,Immune~4~1~0~0~3947~0,385;1,385;2,385;3,385;4,385;5,385~1
72032~z11 Pirate 4~8~25~Hostile~71~2346~18 - 38~705~142~2801~1811~0.3~0,242~0,142;1,142;2,142;3,163;4,163;5,163;7,Immune~4~1~0~0~4000~0,391;1,391;2,391;3,391;4,391;5,391~1
72033~z11 Pirate 4~8~25~Hostile~72~2376~18 - 38~715~144~2802~1836~0.3~0,245~0,144;1,144;2,144;3,166;4,166;5,166;7,Immune~4~1~0~0~4053~0,396;1,396;2,396;3,396;4,396;5,396~1
72034~z11 Pirate 4~8~25~Hostile~73~2406~18 - 39~725~146~2803~1971~0.3~0,249~0,146;1,146;2,146;3,168;4,168;5,168;7,Immune~4~1~0~0~4107~0,402;1,402;2,402;3,402;4,402;5,402~1
72035~z11 Pirate 4~8~25~Hostile~74~2436~19 - 39~735~148~2804~1998~0.3~0,252~0,148;1,148;2,148;3,170;4,170;5,170;7,Immune~4~1~0~0~4160~0,407;1,407;2,407;3,407;4,407;5,407~1
72036~z11 Pirate 4~8~25~Hostile~75~2466~19 - 40~745~150~2805~2025~0.3~0,256~0,150;1,150;2,150;3,173;4,173;5,173;7,Immune~4~1~0~0~4213~0,413;1,413;2,413;3,413;4,413;5,413~1
72037~z11 Pirate 4~8~25~Hostile~76~2496~19 - 40~755~152~2806~2052~0.3~0,259~0,152;1,152;2,152;3,175;4,175;5,175;7,Immune~4~1~0~0~4267~0,418;1,418;2,418;3,418;4,418;5,418~1
72038~z11 Pirate 4~8~25~Hostile~77~2526~19 - 41~765~154~2807~2079~0.3~0,262~0,154;1,154;2,154;3,177;4,177;5,177;7,Immune~4~1~0~0~4320~0,424;1,424;2,424;3,424;4,424;5,424~1
72039~z11 Pirate 4~8~25~Hostile~78~2556~20 - 41~775~156~2808~2223~0.3~0,265~0,156;1,156;2,156;3,179;4,179;5,179;7,Immune~4~1~0~0~4373~0,429;1,429;2,429;3,429;4,429;5,429~1
72040~z11 Pirate 4~8~25~Hostile~79~2586~20 - 42~785~158~2809~2252~0.3~0,269~0,158;1,158;2,158;3,182;4,182;5,182;7,Immune~4~1~0~0~4427~0,435;1,435;2,435;3,435;4,435;5,435~1
72041~z11 Pirate 4~8~25~Hostile~80~2617~25 - 53~795~160~2810~2280~0.3~0,282~0,160;1,160;2,160;3,184;4,184;5,184;7,Immune~4~1~0~0~4480~0,440;1,440;2,440;3,440;4,440;5,440~1
72042~z11 Pirate 4~8~25~Hostile~81~2647~25 - 54~805~162~2811~2309~0.3~0,286~0,162;1,162;2,162;3,186;4,186;5,186;7,Immune~4~1~0~0~4533~0,446;1,446;2,446;3,446;4,446;5,446~1
72043~z11 Pirate 4~8~25~Hostile~82~2677~26 - 54~815~164~2812~2337~0.3~0,289~0,164;1,164;2,164;3,189;4,189;5,189;7,Immune~4~1~0~0~4587~0,451;1,451;2,451;3,451;4,451;5,451~1
72044~z11 Pirate 4~8~25~Hostile~83~2707~26 - 55~825~166~2813~2490~0.3~0,293~0,166;1,166;2,166;3,191;4,191;5,191;7,Immune~4~1~0~0~4640~0,457;1,457;2,457;3,457;4,457;5,457~1
72045~z11 Pirate 4~8~25~Hostile~84~2737~26 - 55~835~168~2814~2520~0.3~0,296~0,168;1,168;2,168;3,193;4,193;5,193;7,Immune~4~1~0~0~4693~0,462;1,462;2,462;3,462;4,462;5,462~1
72046~Darksea Bosun~8~25~Hostile~85~2767~26 - 56~845~170~2815~2550~0.3~0,300~0,170;1,170;2,170;3,196;4,196;5,196;7,Immune~4~1~0~0~4747~0,468;1,468;2,468;3,468;4,468;5,468~1
72047~Darksea Bosun~8~25~Hostile~86~2797~28 - 56~855~172~2816~2580~0.3~0,303~0,172;1,172;2,172;3,198;4,198;5,198;7,Immune~4~1~0~0~4800~0,473;1,473;2,473;3,473;4,473;5,473~1
72048~Darksea Bosun~8~25~Hostile~87~2827~28 - 58~865~174~2817~2610~0.3~0,307~0,174;1,174;2,174;3,200;4,200;5,200;7,Immune~4~1~0~0~4853~0,479;1,479;2,479;3,479;4,479;5,479~1
72049~Darksea Bosun~8~25~Hostile~88~2857~28 - 58~875~176~2818~2772~0.3~0,310~0,176;1,176;2,176;3,202;4,202;5,202;7,Immune~4~1~0~0~4907~0,484;1,484;2,484;3,484;4,484;5,484~1
72050~Darksea Bosun~8~25~Hostile~89~2887~28 - 59~885~178~2819~2804~0.3~0,314~0,178;1,178;2,178;3,205;4,205;5,205;7,Immune~4~1~0~0~4960~0,490;1,490;2,490;3,490;4,490;5,490~1
72051~Cave Snake~8~25~Hostile~70~648~4 - 11~695~140~2800~595~0.3~2,120~0,140;1,140;2,140;3,140;4,140;5,126;7,Immune~1~1~0~0~1480~0,297;1,297;2,297;3,297;4,297;5,297~0
72052~Cave Snake~8~25~Hostile~71~657~4 - 11~705~142~2801~604~0.3~2,121~0,142;1,142;2,142;3,142;4,142;5,128;7,Immune~1~1~0~0~1500~0,302;1,302;2,302;3,302;4,302;5,302~0
72053~Cave Snake~8~25~Hostile~72~665~5 - 11~715~144~2802~612~0.3~2,123~0,144;1,144;2,144;3,144;4,144;5,130;7,Immune~1~1~0~0~1520~0,306;1,306;2,306;3,306;4,306;5,306~0
72054~Cave Snake~8~25~Hostile~73~674~5 - 11~725~146~2803~657~0.3~2,125~0,146;1,146;2,146;3,146;4,146;5,131;7,Immune~1~1~0~0~1540~0,310;1,310;2,310;3,310;4,310;5,310~0
72055~Cave Snake~8~25~Hostile~74~682~5 - 11~735~148~2804~666~0.3~2,127~0,148;1,148;2,148;3,148;4,148;5,133;7,Immune~1~1~0~0~1560~0,314;1,314;2,314;3,314;4,314;5,314~0
72056~Dust Snake~8~25~Hostile~70~1158~9 - 20~695~140~2800~893~0.3~2,155~0,140;1,140;2,140;3,147;4,147;5,132;7,Immune~2~1~0~0~1973~0,315;1,315;2,315;3,315;4,315;5,315~0
72057~Dust Snake~8~25~Hostile~71~1173~9 - 20~705~142~2801~906~0.3~2,157~0,142;1,142;2,142;3,149;4,149;5,134;7,Immune~2~1~0~0~2000~0,319;1,319;2,319;3,319;4,319;5,319~0
72058~Dust Snake~8~25~Hostile~72~1188~9 - 20~715~144~2802~918~0.3~2,159~0,144;1,144;2,144;3,151;4,151;5,136;7,Immune~2~1~0~0~2027~0,324;1,324;2,324;3,324;4,324;5,324~0
72059~Dust Snake~8~25~Hostile~73~1203~9 - 20~725~146~2803~986~0.3~2,162~0,146;1,146;2,146;3,153;4,153;5,138;7,Immune~2~1~0~0~2053~0,328;1,328;2,328;3,328;4,328;5,328~0
72060~Dust Snake~8~25~Hostile~74~1218~9 - 21~735~148~2804~999~0.3~2,164~0,148;1,148;2,148;3,155;4,155;5,140;7,Immune~2~1~0~0~2080~0,333;1,333;2,333;3,333;4,333;5,333~0
72061~Tunnel Snake~8~25~Hostile~70~1737~12 - 25~695~140~2800~1190~0.3~2,193~0,140;1,140;2,140;3,154;4,154;5,139;7,Immune~3~1~0~0~2960~0,350;1,350;2,350;3,350;4,350;5,350~0
72062~Tunnel Snake~8~25~Hostile~71~1760~12 - 26~705~142~2801~1207~0.3~2,196~0,142;1,142;2,142;3,156;4,156;5,140;7,Immune~3~1~0~0~3000~0,355;1,355;2,355;3,355;4,355;5,355~0
72063~Tunnel Snake~8~25~Hostile~72~1782~12 - 26~715~144~2802~1224~0.3~2,199~0,144;1,144;2,144;3,158;4,158;5,142;7,Immune~3~1~0~0~3040~0,360;1,360;2,360;3,360;4,360;5,360~0
72064~Tunnel Snake~8~25~Hostile~73~1805~12 - 26~725~146~2803~1314~0.3~2,201~0,146;1,146;2,146;3,161;4,161;5,145;7,Immune~3~1~0~0~3080~0,365;1,365;2,365;3,365;4,365;5,365~0
72065~Tunnel Snake~8~25~Hostile~74~1828~12 - 27~735~148~2804~1332~0.3~2,204~0,148;1,148;2,148;3,163;4,163;5,147;7,Immune~3~1~0~0~3120~0,370;1,370;2,370;3,370;4,370;5,370~0
72066~Pit Snake~8~25~Hostile~70~2316~18 - 37~695~140~2800~1785~0.3~2,238~0,140;1,140;2,140;3,161;4,161;5,161;7,Immune~4~1~0~0~3947~0,385;1,385;2,385;3,385;4,385;5,385~1
72067~Pit Snake~8~25~Hostile~71~2346~18 - 38~705~142~2801~1811~0.3~2,242~0,142;1,142;2,142;3,163;4,163;5,163;7,Immune~4~1~0~0~4000~0,391;1,391;2,391;3,391;4,391;5,391~1
72068~Pit Snake~8~25~Hostile~72~2376~18 - 38~715~144~2802~1836~0.3~2,245~0,144;1,144;2,144;3,166;4,166;5,166;7,Immune~4~1~0~0~4053~0,396;1,396;2,396;3,396;4,396;5,396~1
72069~Pit Snake~8~25~Hostile~73~2406~18 - 39~725~146~2803~1971~0.3~2,249~0,146;1,146;2,146;3,168;4,168;5,168;7,Immune~4~1~0~0~4107~0,402;1,402;2,402;3,402;4,402;5,402~1
72070~Pit Snake~8~25~Hostile~74~2436~19 - 39~735~148~2804~1998~0.3~2,252~0,148;1,148;2,148;3,170;4,170;5,170;7,Immune~4~1~0~0~4160~0,407;1,407;2,407;3,407;4,407;5,407~1
72071~Water Serpent~8~25~Hostile~75~690~5 - 11~745~150~2805~675~0.3~2,129~0,150;1,150;2,150;3,150;4,150;5,135;7,Immune~1~1~0~0~1580~0,319;1,319;2,319;3,319;4,319;5,319~0
72072~Water Serpent~8~25~Hostile~76~699~5 - 12~755~152~2806~684~0.3~2,130~0,152;1,152;2,152;3,152;4,152;5,137;7,Immune~1~1~0~0~1600~0,323;1,323;2,323;3,323;4,323;5,323~0
72073~Water Serpent~8~25~Hostile~77~707~5 - 12~765~154~2807~693~0.3~2,131~0,154;1,154;2,154;3,154;4,154;5,139;7,Immune~1~1~0~0~1620~0,327;1,327;2,327;3,327;4,327;5,327~0
72074~Water Serpent~8~25~Hostile~78~716~5 - 12~775~156~2808~741~0.3~2,133~0,156;1,156;2,156;3,156;4,156;5,140;7,Immune~1~1~0~0~1640~0,331;1,331;2,331;3,331;4,331;5,331~0
72075~Water Serpent~8~25~Hostile~79~725~5 - 12~785~158~2809~751~0.3~2,135~0,158;1,158;2,158;3,158;4,158;5,142;7,Immune~1~1~0~0~1660~0,336;1,336;2,336;3,336;4,336;5,336~0
72076~Loch Serpent~8~25~Hostile~75~1233~9 - 21~745~150~2805~1013~0.3~2,167~0,150;1,150;2,150;3,158;4,158;5,142;7,Immune~2~1~0~0~2107~0,337;1,337;2,337;3,337;4,337;5,337~0
72077~Loch Serpent~8~25~Hostile~76~1248~10 - 21~755~152~2806~1026~0.3~2,168~0,152;1,152;2,152;3,160;4,160;5,144;7,Immune~2~1~0~0~2133~0,342;1,342;2,342;3,342;4,342;5,342~0
72078~Loch Serpent~8~25~Hostile~77~1263~10 - 21~765~154~2807~1040~0.3~2,170~0,154;1,154;2,154;3,162;4,162;5,146;7,Immune~2~1~0~0~2160~0,346;1,346;2,346;3,346;4,346;5,346~0
72079~Loch Serpent~8~25~Hostile~78~1278~10 - 22~775~156~2808~1112~0.3~2,172~0,156;1,156;2,156;3,164;4,164;5,148;7,Immune~2~1~0~0~2187~0,351;1,351;2,351;3,351;4,351;5,351~0
72080~Loch Serpent~8~25~Hostile~79~1293~10 - 22~785~158~2809~1126~0.3~2,175~0,158;1,158;2,158;3,166;4,166;5,149;7,Immune~2~1~0~0~2213~0,355;1,355;2,355;3,355;4,355;5,355~0
72081~Fen Serpent~8~25~Hostile~75~1850~13 - 27~745~150~2805~1350~0.3~2,207~0,150;1,150;2,150;3,165;4,165;5,149;7,Immune~3~1~0~0~3160~0,375;1,375;2,375;3,375;4,375;5,375~0
72082~Fen Serpent~8~25~Hostile~76~1873~13 - 27~755~152~2806~1368~0.3~2,210~0,152;1,152;2,152;3,167;4,167;5,150;7,Immune~3~1~0~0~3200~0,380;1,380;2,380;3,380;4,380;5,380~0
72083~Fen Serpent~8~25~Hostile~77~1895~13 - 28~765~154~2807~1386~0.3~2,212~0,154;1,154;2,154;3,169;4,169;5,152;7,Immune~3~1~0~0~3240~0,385;1,385;2,385;3,385;4,385;5,385~0
72084~Fen Serpent~8~25~Hostile~78~1918~13 - 28~775~156~2808~1482~0.3~2,215~0,156;1,156;2,156;3,172;4,172;5,155;7,Immune~3~1~0~0~3280~0,390;1,390;2,390;3,390;4,390;5,390~0
72085~Fen Serpent~8~25~Hostile~79~1940~13 - 28~785~158~2809~1501~0.3~2,218~0,158;1,158;2,158;3,174;4,174;5,157;7,Immune~3~1~0~0~3320~0,395;1,395;2,395;3,395;4,395;5,395~0
72086~Tide Serpent~8~25~Hostile~75~2466~19 - 40~745~150~2805~2025~0.3~2,256~0,150;1,150;2,150;3,173;4,173;5,173;7,Immune~4~1~0~0~4213~0,413;1,413;2,413;3,413;4,413;5,413~1
72087~Tide Serpent~8~25~Hostile~76~2496~19 - 40~755~152~2806~2052~0.3~2,259~0,152;1,152;2,152;3,175;4,175;5,175;7,Immune~4~1~0~0~4267~0,418;1,418;2,418;3,418;4,418;5,418~1
72088~Tide Serpent~8~25~Hostile~77~2526~19 - 41~765~154~2807~2079~0.3~2,262~0,154;1,154;2,154;3,177;4,177;5,177;7,Immune~4~1~0~0~4320~0,424;1,424;2,424;3,424;4,424;5,424~1
72089~Tide Serpent~8~25~Hostile~78~2556~20 - 41~775~156~2808~2223~0.3~2,265~0,156;1,156;2,156;3,179;4,179;5,179;7,Immune~4~1~0~0~4373~0,429;1,429;2,429;3,429;4,429;5,429~1
72090~Tide Serpent~8~25~Hostile~79~2586~20 - 42~785~158~2809~2252~0.3~2,269~0,158;1,158;2,158;3,182;4,182;5,182;7,Immune~4~1~0~0~4427~0,435;1,435;2,435;3,435;4,435;5,435~1
72091~Water Serpent~8~25~Hostile~80~863~5 - 12~795~160~2810~760~0.3~2,146~0,160;1,160;2,160;3,160;4,160;5,144;7,Immune~1~1~0~0~1680~0,340;1,340;2,340;3,340;4,340;5,340~0
